Book,Author,Date,Location,Clip
﻿The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, February 09\, 2015\, 04:26 AM,55-56,The most impressive boundary's not a wall. It's not a manufactured thing at all. Moving towards it doesn't close the gap and nothing marks its presence on a map.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, February 09\, 2015\, 04:26 AM,58,Caught and held',' but not with hands. Easily lost',' but rarely taken away.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, February 09\, 2015\, 04:35 AM,64-65,Always moving',' never tired',' dreaded if they're not admired',' making herdsmen of the winds',' and worrying our countrymen.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, February 09\, 2015\, 04:35 AM,66,What can lift objects or hopelessly try',' but only when filled',' or',' lifeless',' it lies?
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Tuesday\, March 17\, 2015\, 01:06 PM,18-19,In order to throw it',' you'll need a hand. It never goes far',' though',' and might not land.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Tuesday\, March 17\, 2015\, 01:08 PM,29-30,We have kept ours from enemies and watched it grow from friends. We have covered it to be with those on whom our lives depend.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Tuesday\, March 17\, 2015\, 01:09 PM,33-34,Some are quick to take it. Others must be coaxed. Those who choose to take it gain and lose the most.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Tuesday\, March 17\, 2015\, 01:10 PM,41-42,Has a mouth',' but cannot drink. Has a head',' but cannot think. Has a tongue',' but not a lung. Some are held and some are hung.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, March 30\, 2015\, 08:10 PM,16,What can split itself before splitting something else?
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, March 30\, 2015\, 08:10 PM,17,There are many like me buried in an old coffin',' but I was no one's child',' pet',' bone',' or valuable.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, March 30\, 2015\, 08:13 PM,31,Guided to guide others',' makes trails where it goes',' gets shorter with age',' but won't burn or glow.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, March 30\, 2015\, 08:15 PM,45,What stalks the countryside with ears that cannot hear?
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, March 30\, 2015\, 08:15 PM,42-43,These are those who every king',' for all his gold and armies',' cannot have within his kingdom',' though his people may have many and find most of them agreeable.
Short-Stories,Various,Monday\, April 06\, 2015\, 03:01 AM,1492,obstreperous','
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, October 25\, 2015\, 04:02 AM,88158,He leads me beside still waters.
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 01\, 2015\, 04:11 AM,Note Loc. 88522,What does he mean?
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 01\, 2015\, 04:11 AM,Note Loc. 88522,What does he mean?
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 01\, 2015\, 04:12 AM,88537-39,who speak peace with their neighbors while evil is in their hearts.
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 01\, 2015\, 04:12 AM,88545,due
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 01\, 2015\, 04:15 AM,Note Loc. 192729,Will humans be equal to angels? Are they now?
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 01\, 2015\, 04:16 AM,Note Loc. 192704,ressurection of what? Jesus hadn't died yet.
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 01\, 2015\, 04:20 AM,192701-4,27There came to him w some Sadducees',' x those who deny that there is a resurrection','
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 01\, 2015\, 04:21 AM,192727-33,because they are f equal to angels and g are h sons of God',' being i sons [7] of the resurrection.
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 01\, 2015\, 04:24 AM,Note Loc. 3785,Is there a distinction between reign and rule?
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 01\, 2015\, 04:24 AM,3785-86,“Are you indeed to reign over us? Or are you indeed to rule over us?”
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 02\, 2015\, 03:13 AM,88582-83,2Ascribe to the LORD the glory due his name;
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 02\, 2015\, 03:14 AM,Note Loc. 88582,Even just His name demands glory.
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 02\, 2015\, 03:19 AM,192894-95,Truly',' I say to you',' this generation will not pass away until all has taken place.
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 02\, 2015\, 03:21 AM,Note Loc. 192894,What generation is He talking about?
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 04\, 2015\, 02:53 AM,88689-91,Will k the dust praise you? Will it tell of your faithfulness?
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 04\, 2015\, 02:53 AM,Note Loc. 88689,Yes',' it will...
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 05\, 2015\, 02:43 AM,88733-34,Into your hand I commit my spirit;
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 05\, 2015\, 02:44 AM,Note Loc. 88733,But not because I am letting go of life',' just because  am safe and can live without fear.
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 05\, 2015\, 02:49 AM,193082-83,sleeping for sorrow','
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 05\, 2015\, 02:50 AM,Note Loc. 193082,What is sleeping for sorrow?
The Holy Bible\, English Standard Version,Crossway Bibles,Friday\, November 06\, 2015\, 04:02 AM,88912-16,Be glad in the LORD',' and rejoice',' O righteous',' and f shout for joy',' all you g upright in heart!
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, November 07\, 2015\, 04:02 AM,88918,PSALM 33
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, November 07\, 2015\, 04:02 AM,88918,PSALM 33
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, November 07\, 2015\, 04:02 AM,99591-92,This psalm is an acrostic poem',' each verse beginning with the successive letters of the Hebrew alphabet
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 09\, 2015\, 04:18 AM,4542-45,29If you m take this one also from me',' n and harm happens to him',' you will bring down my gray hairs in evil to Sheol.’
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 09\, 2015\, 04:18 AM,Note Loc. 4542,What does it mean by 'in evil'?
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 09\, 2015\, 04:22 AM,193504-6,45Then m he opened their minds to understand the Scriptures','
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 09\, 2015\, 04:23 AM,Note Loc. 193504,A mind opened by Jesus could probably understand so much more on a much deeper level.
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:44 AM,4603-11,17And Pharaoh said to Joseph',' “Say to your brothers',' ‘Do this: load your beasts and go back to the land of Canaan',' 18and take your father and your households',' and come to me',' and a I will give you the best of the land of Egypt',' and you shall eat the fat of the land.’ 19And you',' Joseph',' are commanded to say',' ‘Do this: take b wagons from the land of Egypt for your little ones and for your wives',' and bring your father',' and come. 20Have no concern for [1] your goods',' for the best of all the land of Egypt is yours.’”
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:45 AM,Note Loc. 4603,How do you quote this? :)
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:47 AM,4667,Hezron','
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:47 AM,4667,Carmi.
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:47 AM,4668,Jachin','
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:47 AM,4668,Zohar','
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:47 AM,4670,Merari.
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:47 AM,4672,Zerah
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:48 AM,4679,his sons and his daughters numbered thirty-three.
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:50 AM,Note Loc. 4679,That is a lot of children. The oldest could be fifty years old and still have a two year old sister and six minth old brother.
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:51 AM,4682,Ziphion','
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:51 AM,4682,Arodi','
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:51 AM,4682,Areli.
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:52 AM,4693,Asenath','
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:53 AM,4708-12,26All the persons belonging to Jacob who came into Egypt',' who were his own descendants',' not including Jacob’s sons’ wives',' were sixty-six persons in all. 27And the sons of Joseph',' who were born to him in Egypt',' were two. h All the persons of the house of Jacob who came into Egypt were seventy.
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:54 AM,Note Loc. 4708,66 + 2 = 70???
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:56 AM,230324,HEBREWS 1
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:56 AM,230324,HEBREWS 1
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 10\, 2015\, 03:57 AM,Note Loc. 230324,Where is he getting all of this?
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 11\, 2015\, 03:45 AM,89361-63,Fret not yourself because of evildoers; be not v envious of wrongdoers!
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 11\, 2015\, 03:47 AM,Note Loc. 89360,First he comforts concerning worldy evil',' but then he warns against envy of the same.
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 11\, 2015\, 03:47 AM,89378-81,Delight yourself in the LORD',' and he will c give you the desires of your heart.
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 11\, 2015\, 03:49 AM,Note Loc. 89378,But you will only get your desires if your delight is in the Lord',' because only then will what you want be what you need.
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 11\, 2015\, 04:04 AM,230394-414,Warning Against Neglecting Salvation HEBREWS 2 Therefore we must pay much closer attention to what we have heard',' lest we drift away from it. 2For since a the message declared by angels proved to be reliable',' and b every transgression or disobedience received a just c retribution',' 3 d how shall we escape if we e neglect such a great salvation? It was f declared at first by the Lord',' and it was g attested to us h by those who heard',' 4 g while God also bore witness i by signs and wonders and various miracles and by j gifts of the Holy Spirit k distributed according to his will.
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 11\, 2015\, 04:05 AM,230422-23,7You made him for a little while lower than the angels;
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 11\, 2015\, 04:05 AM,Note Loc. 230422,For a little while?
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 11\, 2015\, 04:06 AM,230422-23,7You made him for a little while lower than the angels;
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 11\, 2015\, 04:06 AM,230423,angels;
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 11\, 2015\, 04:07 AM,230474-75,the one who has the power of death',' that is',' the devil','
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 11\, 2015\, 04:09 AM,Note Loc. 230474,We are not to be timid or ultimantly in fear',' but the devil is someone of whom we ought to be afraid. Perhaps more so for the sake of others who don't have a safeguard against Him.
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 12\, 2015\, 02:53 AM,230498-507,3For Jesus has been counted worthy of more glory than Moses—as much more glory as the builder of a house has more honor than the house itself. 4(For every house is built by someone',' but u the builder of all things is God.) 5 v Now Moses was faithful in all God’s house w as a servant',' x to testify to the things that were to be spoken later',' 6but Christ is faithful over God’s house as y a son.
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 12\, 2015\, 02:54 AM,Note Loc. 230498,Why the parenthesis?
The Holy Bible\, English Standard Version,Crossway Bibles,Friday\, November 13\, 2015\, 04:45 AM,4941-42,4Unstable as water',' you shall not have preeminence','
The Holy Bible\, English Standard Version,Crossway Bibles,Friday\, November 13\, 2015\, 04:45 AM,Note Loc. 4941,Water isin't unstable...
The Holy Bible\, English Standard Version,Crossway Bibles,Friday\, November 13\, 2015\, 04:49 AM,5080-84,27 m “Benjamin is a ravenous wolf',' in the morning devouring the prey and at evening n dividing the spoil.”
The Holy Bible\, English Standard Version,Crossway Bibles,Friday\, November 13\, 2015\, 04:49 AM,Note Loc. 5080,So what does he do?
Oxford Dictionary of English,,Friday\, November 13\, 2015\, 04:53 AM,226135-49,emendation n. [mass noun] the process of making a revision or correction to a text. [count noun] a correction or revision to a text: here are some suggested emendations.
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, November 14\, 2015\, 04:43 AM,89789-93,6 h In sacrifice and offering you have not delighted',' but you have given me an open i ear. [1]
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, November 14\, 2015\, 04:44 AM,99611,Hebrew ears you have dug for me
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, November 14\, 2015\, 04:44 AM,Note Loc. 99611,What does that mean?
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 15\, 2015\, 05:04 AM,89905-8,9Even my k close friend in whom I trusted',' who l ate my bread',' has lifted his heel against me.
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 15\, 2015\, 05:05 AM,Note Loc. 89905,Lifting your heel signals enmity?
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 15\, 2015\, 05:08 AM,89929-33,BOOK TWO Why Are You Cast Down',' O My Soul? To the choirmaster. A Maskil [1] of s the Sons of Korah. PSALM 42
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 15\, 2015\, 05:08 AM,Note Loc. 89929,Books?
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 16\, 2015\, 04:17 AM,9257-69,they said to them',' “The LORD look on you and judge',' because you have made us stink in the sight of Pharaoh and his servants',' and have put a sword in their hand to kill us.” 22Then Moses turned to the LORD and said',' “O Lord',' why have you done evil to this people? Why did you ever send me? 23For since I came to Pharaoh to speak in your name',' he has done evil to this people',' and you have not delivered your people at all.” God Promises Deliverance EXODUS 6 But the LORD said to Moses',' “Now you shall see what I will do to Pharaoh; for with a strong hand he will send them out',' and with e a strong hand he will f drive them out of his land.”
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 16\, 2015\, 04:20 AM,Note Loc. 9257,In hindsight',' we can judge his doubt',' but we must keep in mind that they did not know of the miracles to come. Thus',' today',' when God says something',' we cannot know exactly how or why it will happen',' but we can know for sure it will.
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 16\, 2015\, 04:22 AM,9325,Carmi;
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 16\, 2015\, 04:22 AM,9329,Gershon','
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 16\, 2015\, 04:23 AM,9329-30,Kohath','
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 16\, 2015\, 04:23 AM,9330,Merari','
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 16\, 2015\, 04:23 AM,9331,Libni
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 16\, 2015\, 04:23 AM,9332,Shimei','
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 16\, 2015\, 04:23 AM,9335,Mahli and Mushi.
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 18\, 2015\, 05:21 AM,9440-42,22But k the magicians of Egypt did the same by their secret arts. So
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 18\, 2015\, 05:21 AM,Note Loc. 9440,So they also turned water into blood?
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 18\, 2015\, 05:24 AM,9508-10,18The c magicians tried by their secret arts to produce gnats',' but they could not. So there were gnats on man and beast.
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 18\, 2015\, 05:26 AM,Note Loc. 9508,So why could the magicians turn water to blood',' make frogs',' but not create gnats?
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 19\, 2015\, 03:22 AM,110133-34,write them on the tablet of your heart.
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 19\, 2015\, 03:23 AM,Note Loc. 110133,Tablet meant such a different thing back then. Was it any better?
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 19\, 2015\, 03:39 AM,9734-36,20But the LORD k hardened Pharaoh’s heart',' and he did not let the people of Israel go.
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 19\, 2015\, 03:40 AM,Note Loc. 9734,Sp could Pharaoh have let them go if he wanted to?
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 19\, 2015\, 03:40 AM,9748-50,23They did not see one another',' nor did anyone rise from his place for three days',' but n all the people of Israel had light where they lived. 24Then Pharaoh called Moses
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 19\, 2015\, 03:41 AM,Note Loc. 9747,Except that it was pitch black and no one could see anything...
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 19\, 2015\, 03:46 AM,231024-30,28so Christ',' having been offered once q to bear the sins of r many',' will appear s a second time',' t not to deal with sin but to save those who are eagerly u waiting for him.
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, November 19\, 2015\, 03:47 AM,Note Loc. 231024,Because sin has already been ealt with',' and we can be freed from it.
The Holy Bible\, English Standard Version,Crossway Bibles,Friday\, November 20\, 2015\, 03:41 AM,9773-75,And the LORD gave the people favor in the sight of the Egyptians. Moreover',' the man Moses was very great in the land of Egypt',' in the sight of Pharaoh’s servants and in the sight of the people.
The Holy Bible\, English Standard Version,Crossway Bibles,Friday\, November 20\, 2015\, 03:42 AM,Note Loc. 9773,Even though it seemed as if he caused the plagues?
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 24\, 2015\, 05:01 AM,110856-62,8All the words of my mouth are righteous; there is nothing x twisted or crooked in them. 9They are all y straight to him who understands','
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, November 24\, 2015\, 05:06 AM,Note Loc. 110856,My speech will be known for wholesome truth only by the righeous. Is this because the wise are the only ones to internalize and reflect on truth? Or are the fools blocked from understanding?
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 25\, 2015\, 04:31 AM,231201-3,6And without faith it is impossible to please him',' for whoever would draw near to God m must believe that he exists
The Holy Bible\, English Standard Version,Crossway Bibles,Wednesday\, November 25\, 2015\, 04:32 AM,Note Loc. 231201,We can't just try to be friends with some impersonal nice pet version of God.
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, November 28\, 2015\, 05:26 AM,231336-47,12 Therefore',' since we are surrounded by so great a cloud of witnesses',' let us also lay aside every weight',' and w sin which clings so closely',' and x let us run y with endurance the race that is z set before us',' 2looking to Jesus',' the founder and perfecter of our faith',' a who for the joy that was set before him endured the cross',' despising b the shame',' and c is seated at the right hand of the throne of God.
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, November 28\, 2015\, 05:30 AM,Note Loc. 231336,Paraphrase: 'A lot of people say that it is true',' so lets act on that with every ounce of strength we can manage and relieve ourselves of any burden that might slow us down as we draw strength from the one who worked out our eternal joy in Himself through His own work on the Cross.
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, November 28\, 2015\, 05:34 AM,231420-24,to h the assembly [1] of the firstborn who are i enrolled in heaven','
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, November 28\, 2015\, 05:39 AM,Note Loc. 231423,Sign me up for that camp.

Price: Infinite [Paid in full]
Time: Eternity
Place: With God
Ages: -10 & up
Deadline: Death

Please RSVP as soon as possible to gaurantee your spot.
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, November 28\, 2015\, 05:44 AM,231517-20,Pray for us',' for we are sure that we have a clear conscience',' desiring to act honorably in all things. 19I urge you the more earnestly to do this in order c that I may be restored to you the sooner.
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 29\, 2015\, 05:32 AM,175827-29,and Matthan the father of Jacob',' 16and Jacob the father of s Joseph the husband of Mary',' of whom Jesus was born',' who is called Christ.
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 29\, 2015\, 05:33 AM,Note Loc. 175827,So Jesus was not really of the line of David. He was not even related to Joseph.
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 29\, 2015\, 05:34 AM,175844-46,19And her husband Joseph',' being a just man and unwilling x to put her to shame',' resolved to divorce her quietly.
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, November 29\, 2015\, 05:35 AM,Note Loc. 175844,By what standard is it just to get a divorece?
The Holy Bible\, English Standard Version,Crossway Bibles,Monday\, November 30\, 2015\, 04:48 AM,111135-36,but he who makes his ways crooked s will be found out.
LateMiddleAges.pdf,,Monday\, November 30\, 2015\, 02:04 PM,n Page 13,accreted
LateMiddleAges.pdf,,Monday\, November 30\, 2015\, 02:04 PM,n Page 12,an important abbot could have considerably more
LateMiddleAges.pdf,,Monday\, November 30\, 2015\, 02:04 PM,n Page 12,an important abbot could have considerably more
LateMiddleAges.pdf,,Monday\, November 30\, 2015\, 02:05 PM,n Page 12,clout
LateMiddleAges.pdf,,Monday\, November 30\, 2015\, 05:09 PM,n Page 19,bucolic
The Holy Bible\, English Standard Version,Crossway Bibles,Tuesday\, December 01\, 2015\, 04:37 AM,111256-60,4 g Riches do not profit in the day of wrath',' h but righteousness delivers from death.
